time_idx,group_id,electricity_demand,hour,day_of_week,solar_generation,wind_generation,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
124,single,147993.79200000002,9.0,0.0,-3.187,3260.75,143469.474,127783.24,165660.918,152029.816,12759.73520827777,178212.46774999998,23024.903058256623
125,single,158946.338,10.0,0.0,-3.145,3289.311,147993.79200000002,130244.662,176130.552,152871.92233333335,11714.02538696537,178107.3062857143,23122.710655120452
126,single,175902.58000000002,11.0,0.0,-3.151,3175.479,158946.338,134432.63,192888.258,154067.8255,10727.056766219,178005.01929761903,23169.46877961008
127,single,187518.148,12.0,0.0,3.634,2657.868,175902.58000000002,140143.866,202837.27,155795.7400833333,10766.621625649323,177903.91407142856,23141.176648530633
128,single,188803.874,13.0,0.0,82.809,2151.443,187518.148,146069.482,202301.494,157769.6685,12039.752649018457,177812.72882142855,23072.42071966755
129,single,188435.528,14.0,0.0,144.325,1538.541,188803.874,150506.894,197360.558,159550.26816666668,13325.546748340232,177732.3858452381,23010.05157305614
130,single,187023.602,15.0,0.0,222.501,1224.167,188435.528,153280.69400000002,191920.794,161130.62791666668,14411.27162123813,177679.26066666667,22974.738929527495
131,single,185240.108,16.0,0.0,318.864,1010.708,187023.602,153974.188,186072.522,162536.58241666667,15234.590068947118,177650.1107142857,22959.663107715696
132,single,183178.498,17.0,0.0,288.02,843.271,185240.108,154312.748,182886.38,163839.32908333334,15796.995858858276,177645.1558690476,22957.924366807856
133,single,181095.204,18.0,0.0,232.683,861.359,183178.498,153816.47,180318.9,165042.06866666666,16135.387149816288,177646.8946666667,22958.334764635765
134,single,179353.522,19.0,0.0,159.462,806.445,181095.204,153683.438,176878.238,166178.68258333334,16270.47235468395,177651.51552380953,22958.953898916014
135,single,178343.952,20.0,0.0,74.145,845.536,179353.522,155367.462,176827.274,167248.26941666668,16257.0908909272,177666.24935714286,22959.24892985255
136,single,181335.066,21.0,0.0,14.279,1033.263,178343.952,159679.284,182078.468,168205.6231666667,16203.46588754044,177675.27720238097,22959.21524725029
137,single,190703.828,22.0,0.0,-3.053,1483.679,181335.066,170318.214,194703.114,169107.9474166667,16310.634471647783,177670.8521904762,22958.43314874732
138,single,194631.172,23.0,0.0,-3.177,1762.95,190703.828,174265.946,200771.15,169957.348,16896.678459931067,177647.04691666667,22942.73492091819
139,single,193131.572,0.0,1.0,-3.16,2062.866,194631.172,173102.182,200567.46,170805.89908333335,17618.42011371055,177610.49942857143,22910.545811221407
140,single,189420.036,1.0,1.0,-3.262,2124.507,193131.572,170388.31,198248.038,171640.457,18196.807887686755,177566.2381904762,22873.081451294165
141,single,182950.414,2.0,1.0,-3.163,2723.049,189420.036,164957.048,192858.724,172433.44558333335,18551.106159214447,177513.6905595238,22835.392949907367
142,single,173570.346,3.0,1.0,-3.268,3402.631,182950.414,157817.146,183960.08,173183.16916666666,18599.347191465524,177454.71252380952,22808.302554445152
143,single,164695.4,4.0,1.0,-3.223,3896.822,173570.346,150437.926,175411.412,173839.5525,18309.200071376123,177392.86886904764,22804.643276863164
144,single,157810.23,5.0,1.0,-2.915,4284.688,164695.4,145374.394,169406.718,174433.61391666665,17739.327659591316,177329.08308333333,22825.196065636526
145,single,153622.228,6.0,1.0,-3.217,3465.715,157810.23,143083.216,166827.548,174951.77375000002,17020.67928151496,177260.0563690476,22866.794740856123
146,single,151638.896,7.0,1.0,-3.167,2841.035,153622.228,142206.67,166193.716,175390.89925000002,16282.689706260984,177181.45327380954,22925.491408732647
147,single,151734.628,8.0,1.0,-3.244,2449.019,151638.896,143469.474,167039.07,175783.90866666668,15543.984251502472,177094.81744047618,22994.6600153701
148,single,155217.158,9.0,1.0,-3.077,2209.723,151734.628,147993.79200000002,171481.508,176128.29008333336,14874.042336386712,177003.71957142858,23064.94475057578
149,single,165078.106,10.0,1.0,-3.097,2393.698,155217.158,158946.338,181926.396,176429.26366666667,14343.61778241328,176906.90796428573,23122.324388546444
150,single,180438.41,11.0,1.0,-3.229,2842.028,165078.106,175902.58000000002,197749.67,176684.754,14070.683395659195,176806.6205238095,23136.956263788412
151,single,190644.426,12.0,1.0,-0.192,3020.358,180438.41,187518.148,207674.968,176873.74691666666,14090.169122228574,176703.5773095238,23081.608045718807
152,single,190852.678,13.0,1.0,30.821,2977.046,190644.426,188803.874,206453.496,177004.0085,14206.821707423802,176602.2050357143,22981.953216940972
153,single,190182.466,14.0,1.0,72.273,3349.035,190852.678,188435.528,201600.07,177089.3753333333,14286.738957330308,176509.34302380955,22891.954851517035
154,single,189282.702,15.0,1.0,167.398,3494.811,190182.466,187023.602,196939.294,177162.16441666664,14351.363540213164,176441.3810952381,22833.89386844469
155,single,188168.886,16.0,1.0,288.248,3663.615,189282.702,185240.108,194680.652,177256.29358333335,14426.07007342259,176395.80614285715,22800.35278852275
156,single,186247.708,17.0,1.0,275.904,3935.254,188168.886,183178.498,193186.674,177378.326,14508.693680613598,176357.0456309524,22774.602936370997
157,single,184806.098,18.0,1.0,232.017,3952.113,186247.708,181095.204,192402.344,177506.20975,14575.413877424713,176315.74226190476,22750.177495688138
158,single,183037.158,19.0,1.0,143.188,3546.096,184806.098,179353.522,192010.768,177660.83033333335,14634.70498685166,176270.52651190475,22725.549487947323
159,single,182041.112,20.0,1.0,103.256,3480.143,183037.158,178343.952,192328.93,177814.31516666667,14672.497020888526,176217.11216666666,22698.86210203683
160,single,184161.666,21.0,1.0,38.826,3221.503,182041.112,181335.066,197382.444,177968.36349999998,14697.68635741633,176155.87515476192,22668.992936537998
161,single,191049.52,22.0,1.0,-2.673,2816.269,184161.666,190703.828,207325.584,178086.1385,14737.109393460043,176077.18004761907,22617.753910674786
162,single,194191.43,23.0,1.0,-3.155,2319.675,191049.52,194631.172,210785.078,178100.54233333332,14750.141101206851,175980.29871428572,22517.739862927716
163,single,191902.184,0.0,2.0,-3.046,2041.292,194191.43,193131.572,209041.94,178082.21975000002,14728.971936646749,175881.527,22400.24477033956
164,single,187731.906,1.0,2.0,-3.018,2017.825,191902.184,189420.036,205842.736,178030.99525,14676.401589364956,175779.50464285715,22287.05635281068
165,single,181001.182,2.0,2.0,-2.98,1861.678,187731.906,182950.414,199202.634,177960.6565,14623.39436344543,175671.70208333334,22184.334000223647
166,single,171311.426,3.0,2.0,-3.098,1805.263,181001.182,173570.346,189832.002,177879.43850000002,14599.870525015924,175563.36010714286,22113.058345533682
167,single,161778.812,4.0,2.0,-2.913,1872.337,171311.426,164695.4,181062.526,177785.31683333335,14636.094367510686,175453.11858333333,22087.649353831115
168,single,155023.252,5.0,2.0,-3.051,1751.588,161778.812,157810.23,175084.63199999998,177663.79233333332,14761.080994754457,175338.33457142857,22108.420668115214
169,single,151617.736,6.0,2.0,-3.0,1648.397,155023.252,153622.228,172347.028,177547.66825,14934.007402236635,175218.9215952381,22163.907758059875
170,single,149917.35,7.0,2.0,-3.001,1751.419,151617.736,151638.896,171373.388,177464.14775,15078.537226123373,175095.53295238098,22237.57019645683
171,single,150390.454,8.0,2.0,-3.05,1818.877,149917.35,151734.628,171986.564,177392.41666666666,15210.253266907004,174967.8184404762,22320.533429816263
172,single,153984.134,9.0,2.0,-3.004,1934.181,150390.454,155217.158,176083.02,177336.40941666663,15310.97941844766,174839.27016666665,22399.853015574176
173,single,163706.324,10.0,2.0,-3.012,1653.795,153984.134,165078.106,186314.69,177285.03341666667,15390.290874105265,174707.72917857143,22457.318560442785
