time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
81,0,159258.122,14,5,1,1,-0.5,-0.866025,0.0,1.0,155996.994,193457.634,163848.61,166260.015,182890.49,7516.658,151741.464,0,0,7067.774,448.884
82,0,160875.016,15,5,1,1,-0.707107,-0.707107,0.0,1.0,159258.122,190855.674,167587.176,164835.036,182863.166,7271.197,153603.819,0,0,6686.486,584.711
83,0,160677.308,16,5,1,1,-0.866025,-0.5,0.0,1.0,160875.016,186722.282,169051.294,163585.842,182823.212,6945.298,153732.01,0,0,6228.339,716.959
84,0,159530.326,17,5,1,1,-0.965926,-0.258819,0.0,1.0,160677.308,183222.41,168663.666,162500.634,182773.367,6813.29,152717.036,0,1,6120.417,692.873
85,0,158251.868,18,5,1,1,-1.0,-0.0,0.0,1.0,159530.326,180305.486,168008.696,161513.464,182719.002,6818.333,151433.535,0,1,6297.779,520.554
86,0,156656.918,19,5,1,1,-0.965926,0.258819,0.0,1.0,158251.868,178131.122,166828.262,160594.563,182660.926,7092.186,149564.732,0,1,6724.051,368.135
87,0,156184.668,20,5,1,1,-0.866025,0.5,0.0,1.0,156656.918,177012.632,167550.794,159699.805,182600.382,6632.238,149552.43,0,1,6428.111,204.127
88,0,159174.474,21,5,1,1,-0.707107,0.707107,0.0,1.0,156184.668,179882.59,171786.132,158831.973,182532.727,5873.209,153301.265,0,1,5827.533,45.676
89,0,166749.36,22,5,1,1,-0.5,0.866025,0.0,1.0,159174.474,186436.144,179358.626,157969.135,182457.657,5429.521,161319.839,0,0,5429.521,0.0
90,0,167472.856,23,5,1,1,-0.258819,0.965926,0.0,1.0,166749.36,185972.454,180714.966,157148.852,182382.602,5396.64,162076.216,0,0,5396.64,0.0
91,0,164704.846,0,6,1,1,0.0,1.0,0.0,1.0,167472.856,182424.454,178829.148,156378.036,182303.78,5440.072,159264.774,0,0,5440.072,0.0
92,0,161112.664,1,6,1,1,0.258819,0.965926,0.0,1.0,164704.846,178272.626,177125.532,155639.719,182219.707,5153.529,155959.135,0,0,5153.529,0.0
93,0,156117.496,2,6,1,1,0.5,0.866025,0.0,1.0,161112.664,172300.124,173716.294,154924.72,182124.392,4946.449,151171.047,0,0,4946.449,0.0
94,0,149774.12,3,6,1,1,0.707107,0.707107,0.0,1.0,156117.496,163970.298,168892.17,154250.444,182019.637,5060.578,144713.542,0,0,5060.578,0.0
95,0,142513.49,4,6,1,1,0.866025,0.5,0.0,1.0,149774.12,154619.692,162438.994,153658.937,181905.839,5212.159,137301.331,0,0,5212.159,0.0
96,0,135529.276,5,6,1,1,0.965926,0.258819,0.0,1.0,142513.49,147128.64,156666.882,153154.512,181787.235,4673.759,130855.517,0,0,4673.759,0.0
97,0,131523.976,6,6,1,1,1.0,0.0,0.0,1.0,135529.276,141772.258,153233.694,152671.205,181661.416,3983.14,127540.836,0,0,3983.14,0.0
98,0,129138.616,7,6,1,1,0.965926,-0.258819,0.0,1.0,131523.976,139309.154,151818.638,152244.193,181532.192,3557.038,125581.578,0,0,3557.038,0.0
99,0,127705.572,8,6,1,1,0.866025,-0.5,0.0,1.0,129138.616,137433.084,151513.148,151820.421,181397.191,3484.256,124221.316,0,0,3484.256,0.0
100,0,127783.24,9,6,1,1,0.707107,-0.707107,0.0,1.0,127705.572,137606.83,153222.976,151415.108,181255.48,2676.123,125107.117,0,0,2676.123,0.0
101,0,130244.662,10,6,1,1,0.5,-0.866025,0.0,1.0,127783.24,140426.246,156655.266,151005.791,181104.053,2244.605,128000.057,0,0,2244.605,0.0
102,0,134432.63,11,6,1,1,0.258819,-0.965926,0.0,1.0,130244.662,145502.734,161755.772,150581.559,180946.847,2097.216,132335.414,0,0,2097.216,0.0
103,0,140143.866,12,6,1,1,0.0,-1.0,0.0,1.0,134432.63,151478.806,167983.5,150120.304,180784.209,2134.761,138009.105,0,0,2126.22,8.541
104,0,146069.482,13,6,1,1,-0.258819,-0.965926,0.0,1.0,140143.866,155996.994,172063.128,149648.015,180618.497,2127.551,143941.931,0,0,1977.25,150.301
105,0,150506.894,14,6,1,1,-0.5,-0.866025,0.0,1.0,146069.482,159258.122,173929.018,149234.369,180463.773,2184.973,148321.921,0,0,1821.667,363.306
106,0,153280.694,15,6,1,1,-0.707107,-0.707107,0.0,1.0,150506.894,160875.016,174499.316,148869.734,180324.355,2169.444,151111.25,0,0,1684.69,484.754
107,0,153974.188,16,6,1,1,-0.866025,-0.5,0.0,1.0,153280.694,160677.308,174666.468,148553.304,180198.054,2103.84,151870.348,0,0,1442.885,660.955
108,0,154312.748,17,6,1,1,-0.965926,-0.258819,0.0,1.0,153974.188,159530.326,174331.83,148274.008,180074.886,1902.776,152409.972,0,1,1206.158,696.618
109,0,153816.47,18,6,1,1,-1.0,-0.0,0.0,1.0,154312.748,158251.868,172836.744,148056.609,179955.724,1704.252,152112.218,0,1,1023.162,681.09
110,0,153683.438,19,6,1,1,-0.965926,0.258819,0.0,1.0,153816.47,156656.918,171442.854,147871.8,179842.509,1406.605,152276.833,0,1,795.373,611.232
111,0,155367.462,20,6,1,1,-0.866025,0.5,0.0,1.0,153683.438,156184.668,172455.258,147747.905,179736.798,1062.47,154304.992,0,1,625.164,437.306
112,0,159679.284,21,6,1,1,-0.707107,0.707107,0.0,1.0,155367.462,159174.474,178713.592,147713.855,179635.085,830.827,158848.457,0,1,699.59,131.237
113,0,170318.214,22,6,1,1,-0.5,0.866025,0.0,1.0,159679.284,166749.36,190623.396,147734.889,179521.785,915.158,169403.056,0,0,915.158,0.0
