timestamp,target,group_id,solar,wind,hour,day_of_week,day_of_month,month,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-09-05 11:00:00,154322.706,single,445.136,946.162,11,0,5,9,36,0,0.258819045102521,-0.9659258262890682,0.0,1.0,-0.8660254037844385,-0.5000000000000004,151863.78,149640.308,197822.97,183115.63983333332,27019.08549796703,199664.6811904762,36341.40697924651
2022-09-05 12:00:00,160987.488,single,1454.511,1065.365,12,0,5,9,36,0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,154322.706,158160.568,208830.55,183310.73975000004,26782.728234156515,199405.75104761904,36509.18858258463
2022-09-05 13:00:00,171468.376,single,2258.684,1093.583,13,0,5,9,36,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,-0.8660254037844385,-0.5000000000000004,160987.488,169336.81,220995.134,183428.52808333337,26673.303442020097,199120.97091666667,36621.65301842738
2022-09-05 14:00:00,182594.424,single,2659.075,984.132,14,0,5,9,36,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.8660254037844385,-0.5000000000000004,171468.376,180295.25,234354.446,183517.34333333335,26627.851619882487,198826.16878571428,36643.84990251063
2022-09-05 15:00:00,193211.634,single,2639.097,921.719,15,0,5,9,36,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.8660254037844385,-0.5000000000000004,182594.424,191091.46,248358.268,183613.14225,26619.890176944686,198518.07341666665,36560.84616646104
2022-09-05 16:00:00,201639.664,single,2477.61,869.037,16,0,5,9,36,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844385,-0.5000000000000004,193211.634,201146.952,260548.536,183701.4828333333,26649.28845599303,198189.81964285712,36357.683758603096
2022-09-05 17:00:00,208339.794,single,2435.958,866.145,17,0,5,9,36,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.8660254037844385,-0.5000000000000004,201639.664,208732.7,268525.536,183722.01249999998,26663.498142719513,197839.1715952381,36035.311253677486
2022-09-05 18:00:00,212003.618,single,2154.426,951.206,18,0,5,9,36,0,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844385,-0.5000000000000004,208339.794,213974.766,270815.234,183705.64141666668,26647.590076385466,197480.92313095237,35625.20555691792
2022-09-05 19:00:00,213860.04,single,1906.409,1065.075,19,0,5,9,36,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,-0.8660254037844385,-0.5000000000000004,212003.618,218026.742,272499.514,183623.51025000002,26553.110839781322,197130.85398809524,35186.52859018425
2022-09-05 20:00:00,215480.032,single,1527.155,1105.657,20,0,5,9,36,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844385,-0.5000000000000004,213860.04,219986.11,274456.7,183449.89766666666,26331.085097758012,196781.8095,34722.19023379319
